image_name,col2,col3,col4,run_id,annotation_confidence,overlay_png_key,overlay_json_key,summary_json_key
1.jpg,5,3,2,6676e555,low,xray/overlays/case_id=1/run_id=6676e555/overlay.png,xray/overlays/case_id=1/run_id=6676e555/overlay.json,xray/overlays/case_id=1/run_id=6676e555/summary.json
10.jpg,2,2,3,678f41c4,low,xray/overlays/case_id=10/run_id=678f41c4/overlay.png,xray/overlays/case_id=10/run_id=678f41c4/overlay.json,xray/overlays/case_id=10/run_id=678f41c4/summary.json
100.jpg,2,1,2,68a98458,low,xray/overlays/case_id=100/run_id=68a98458/overlay.png,xray/overlays/case_id=100/run_id=68a98458/overlay.json,xray/overlays/case_id=100/run_id=68a98458/summary.json
101.jpg,1,2,3,c9e9ef86,low,xray/overlays/case_id=101/run_id=c9e9ef86/overlay.png,xray/overlays/case_id=101/run_id=c9e9ef86/overlay.json,xray/overlays/case_id=101/run_id=c9e9ef86/summary.json
102.jpg,3,3,3,633f9dd5,low,xray/overlays/case_id=102/run_id=633f9dd5/overlay.png,xray/overlays/case_id=102/run_id=633f9dd5/overlay.json,xray/overlays/case_id=102/run_id=633f9dd5/summary.json
103.jpg,1,2,2,5c2eb7ba,low,xray/overlays/case_id=103/run_id=5c2eb7ba/overlay.png,xray/overlays/case_id=103/run_id=5c2eb7ba/overlay.json,xray/overlays/case_id=103/run_id=5c2eb7ba/summary.json
104.jpg,4,2,3,b7419b98,medium,xray/overlays/case_id=104/run_id=b7419b98/overlay.png,xray/overlays/case_id=104/run_id=b7419b98/overlay.json,xray/overlays/case_id=104/run_id=b7419b98/summary.json
105.jpg,4,2,4,b8539d74,low,xray/overlays/case_id=105/run_id=b8539d74/overlay.png,xray/overlays/case_id=105/run_id=b8539d74/overlay.json,xray/overlays/case_id=105/run_id=b8539d74/summary.json
106.jpg,4,2,3,cc544468,low,xray/overlays/case_id=106/run_id=cc544468/overlay.png,xray/overlays/case_id=106/run_id=cc544468/overlay.json,xray/overlays/case_id=106/run_id=cc544468/summary.json
107.jpg,2,2,3,917f6257,low,xray/overlays/case_id=107/run_id=917f6257/overlay.png,xray/overlays/case_id=107/run_id=917f6257/overlay.json,xray/overlays/case_id=107/run_id=917f6257/summary.json
